nombre;num_resenas.1;valoracion;categoria;ubicacion
Hotel Villa Sonsierra;142;4,5;;San Vicente de la Sonsierra
Pensión La Redonda;46;3,5;;Logrono
Posada Hoyos de Iregua;44;4;;Villoslada de Cameros
Casa de Legarda;94;4,5;;Brinas
La Fuente de Arnedillo;73;5;;Arnedillo
Pension Logrono;16;3;;Logrono
RoomConcept Hostel;20;3,5;;Santo Domingo de la Calzada
Pension Miguel;27;4;;Santo Domingo de la Calzada
Hotel Boutique Posada de Sajazarra;139;5;;Sajazarra
Apartamentos Turisticos Beethoven;110;5;;Haro
Pension Sotelo;7;5;;Logrono
Casa Rural La Posada de San Millan;48;4;;San Millan de la Cogolla
Hotel Cervaria;11;5;;Cervera del Rio Alhama
Pension Cinco Villas;16;3,5;;Logrono
limehome Haro Calle de la Vega;1;5;;Haro
Hostal La Villa;16;4;;Canales de la Sierra
Príncipe de Vergara Rooms Logroño;1;5;;Logrono
Albergue  Albas;35;4,5;;Logrono
Alojamiento Rural La Cuculla;37;4,5;;Ezcaray
Casa Piedralen;19;3,5;;Cervera del Rio Alhama
Hotel Iguarena;45;3;;Ezcaray
Sercotel Calle Mayor;1;4,5;;Logrono
Hotel Sercotel Portales;997;4,5;;Logrono
NH Logrono Herencia Rioja;1;4;;Logrono
Parador de Santo Domingo de la Calzada;1;4;;Santo Domingo de la Calzada
FG Logrono Hotel;830;4;;Logrono
Parador de Calahorra;981;4;;Calahorra
Parador De Santo Domingo Bernardo De Fresneda;701;4;;Santo Domingo de la Calzada
Hotel Logrono;1;4;;Logrono
Sercotel Logroño Suites;77;4,5;;Logrono
Balneario TermaEuropa Arnedillo;627;3,5;;Arnedillo
Eurostars Fuerte Ruavieja;210;4,5;;Logrono
Hotel Ciudad de Logrono;499;3,5;;Logrono
Ac Hotel La Rioja;504;4;;
Hotel Echaurren Relais & Châteaux;327;4,5;;Ezcaray
Hotel Zenit Logrono;297;3,5;;Logrono
Hotel Eth Rioja;347;3,5;;Haro
Hotel Murrieta;568;3,5;;Logrono
Áurea Palacio de Correos;37;4;;Logrono
Eurostars Los Agustinos;756;4;;Haro
Mercure Carlton Rioja;749;3,5;;Logrono
Eurostars Marques de Vallejo;559;4;;Logrono
Hotel Ibis Styles Arnedo Victoria;352;4;;Arnedo
Real Casona de las Amas;199;4;;Azofra
Hospederia Senorio de Brinas;251;4;;Brinas
4Us Rioja Wine Hotel;8;4;;Cenicero
Hostal Meson Pepa;29;3;;Logrono
Ciudad De Calahorra;70;3;;Calahorra
Hostal La Cepa;4;4;;Cenicero
El Patio de San Nicolas;23;4,5;;Logrono
Ibis Budget Logroño Centro;4;1,5;;Logrono
Wine & Soul Suites;295;5;;Haro
Hotel Plaza de la Paz;42;4,5;;Haro
Santa María Briones Hotel;39;5;;Briones
Hotel Nuevo Zenit Calahorra;140;3;;Calahorra
Hostal A La Sombra Del Laurel;52;4,5;;Navarrete
Hotel Villa de Abalos;309;4,5;;Abalos
Calahorra Centro;1;5;;Calahorra
Los Calaos de Briones;126;4;;Briones
Hotel San Camilo;181;4;;Navarrete
Pension San Lorenzo;61;5;;Najera
Hospederia Sagasta;59;4,5;;Torrecilla en Cameros
Winederful Hostel & Cafe;84;4,5;;Logrono
Casona del Boticario;205;5;;San Vicente de la Sonsierra
Apartamentos Senorio de Haro;402;4,5;;Haro
Hostal Rey Pedro I;97;4;;Santo Domingo de la Calzada
Naquela Castroviejo;162;5;;Castroviejo
Palacio de Casafuerte;158;4,5;;Zarraton
Hotel Hormilla;16;4;;Hormilla
Hostal La Numantina;160;3,5;;Logrono
Hotel Virrey;100;3,5;;Arnedo
Apartamentos Laurel;56;5;;Logrono
Pension EL Espolon;10;4;;Logrono
La Playa Camping & Bungalow;102;3;;Logrono
Pension Ubeda;83;4,5;;Fuenmayor
Hotel Marrodan;71;3;;Arnedillo
Calfred;112;4;;Logrono
Hostal Nuestra Señora de Valvanera;7;3;;Anguiano
Casa Victoria;31;3,5;;Ciruena
Pension La Rioja;2;1;;
Hotel Portal de La Rioja;32;2,5;;
Posada Ignatius;87;5;;Navarrete
The Garden by Luke;299;4,5;;Ezcaray
Hospederia Senorio de Casalarreina;273;4;;Casalarreina
Palacio Tondon, La Rioja Brinas;202;4,5;;
Hotel Bracos;495;3,5;;Logrono
Hotel Gran Via Logroño;482;3,5;;Logrono
Teatrisso Hotel;535;5;;Cuzcurrita de Rio Tiron
Hotel Condes de Haro;353;3,5;;Logrono
Tinto Dreams Hostel;96;5;;Haro
Apartamentos Turísticos Real Valle Ezcaray;278;4,5;;Zorraquin
Hotel Palacios Rioja;739;4;;Alfaro
Natura Resorts;14;4,5;;Casalarreina
Bodega Hotel Fya;44;4,5;;Navarrete
Pura Vida Hotel;306;5;;Valganon
Casa Masip;194;4,5;;Ezcaray
Finca de los Arandinos;390;4;;Entrena
Hotel Palacio Azcarate;144;4,5;;Ezcaray
Hotel Arrope;341;4;;Haro
Hotel Alda Malvasía;4;3,5;;Haro
Pension La Estacion;11;4;;Logrono
Casa Rural Colmenares;85;5;;Cuzcurrita de Rio Tiron
Hosteria San Millan;339;4;;San Millan de la Cogolla
Hotel Restaurante Parras;33;3,5;;Arnedillo
Pension Berceo;24;4,5;;Logrono
Pension Laurel;59;4;;Logrono
Apartamentos La Demanda;74;4,5;;Ezcaray
Aniana Alojamiento Boutique;3;5;;Logrono
Hostal Hispano;115;3,5;;Najera
Iraipe Logroño Hotel;14;2,5;;Logrono
Albergue De La Real Fabrica De Ezcaray;21;2,5;;Ezcaray
Albergue San Jorge: Hospitality, Services & Events;9;3;;Santurdejo
Pension Travesia;1;3;;Logrono
Hostal Teresa;1;3;;Arnedillo
Casa Rural La Hermedana;5;3;;Sorzano
Hostal San Andres;7;3;;Aleson
Residencia Universitaria La Ribera;3;3,5;;Logrono
Pension Sebastian;22;3;;Logrono
Hotel Luz;146;3;;Haro
Ath Hotelandgo Arasur;203;3;;Ribabellosa
Balneario de la Albotea;0;;;Cervera del Rio Alhama
Pension Velazquez;2;2;;Logrono
Hostal San Isidro;0;;;Autol
Monasterio De Santa María De Valvanera;0;;;Anguiano
Apartamentos Turísticos Casa Paco;3;2,5;;Aldeanueva de Ebro
Hostal Lobrega;0;;;Torrecilla en Cameros
EL Mirador Del Rio;0;;;Arnedillo
Tres Puentes Anguiano;0;;;Anguiano
Apartamento Hoyo 14;1;1;;Sojuela
Alojamientos Zabala;0;;;Anguiano
Casa Rural Marem;1;1;;El Rasillo de Cameros
Casa San Juan;0;;;Logrono
Albergue El Peregrino;1;1;;Najera
Pension Irati;0;;;Rincon de Soto
Pension Calle Mayor;8;2,5;;Najera
El Mirador del Rioja, Zona Laurel;0;;;Logrono
Camping Navarrete;41;2,5;;Navarrete
Villas Finca La Emperatriz;0;;;Banos de Rioja
Camping Banares;94;2,5;;Santo Domingo de la Calzada
Albergue De Nuestra Señora Carrasquedo;0;;;Granon
El Rincon Del Marques Alojamientos;0;;;Logrono
El Mirador de Clavijo;0;;;Clavijo
Apartamento Golf Rioja Alta;0;;;Ciruena
Albergue Buen Camino;0;;;Navarrete
Casa Rural Senderismo;0;;;Lumbreras
Apartamentos Najera;0;;;Najera
Generacion Del 98;0;;;Santa Eulalia Bajera
Barranco De La Olla;0;;;Arnedillo
El Rincon De La Merced;0;;;Logrono
Casa Jardin;0;;;Navalsaz
Apartamento Gaztainondoak;0;;;Lanciego
Casa Rural El Colorao;0;;;Sotes
Hotel Corzo;0;;;Anguiano
Villa Merenciana;0;;;Agoncillo
Hostal El Sequero;0;;;Agoncillo
Apartamentos Calahorra;0;;;Calahorra
Villaterreno;0;;;Villamediana de Iregua
Alojamientos Zabala;0;;;Najera
Atico La Real;0;;;Najera
Casa Rural el Real de Siota;0;;;Castanares de Rioja
Apartamentos Guadalis;0;;;Castanares de Rioja
Albergue Juvenil Hayedo de Santiago;0;;;Munilla
Ciudad De Cenicero;0;;;Cenicero
Higinia;0;;;Haro
Haro Glamping;0;;;Haro
Stoke Travel Wine Fight All-Inclusive Camping;0;;;Haro
Pensión Espartero;0;;;Logrono
Apartamento Turístico La Estambrera;0;;;Logrono
Micampus Logroño;0;;;Logrono
Hotel Logrono;0;;;Logrono
Calle lerida;0;;;Logrono
Apartamentos Espolon;1;5;;Logrono
Pension El Camino;10;3,5;;Logrono
Albergue Juvenil Molino Viejo;5;4;;Ezcaray
Camping Los Cameros;17;3;;Villoslada de Cameros
Hospederia Senorio de la Maruda;1;5;;Ortigosa De Cameros
Comedor Las Huellas;1;5;;Soto en Cameros
LavidaesSueno;5;4;;San Roman de Cameros
La Hoz del Encinedo;2;5;;Ortigosa De Cameros
Hostel Albergue Pilgrim's;4;4;;Navarrete
Camping De La Rioja;1;4;;
Hotel D0 Alesanco;21;3,5;;Alesanco
Casa Rural Uyarra;1;4;;Ojacastro
Apartamentos Roseta En Calahorra;1;5;;Calahorra
Albergue Municipal de Peregrinos de Azofra;1;4;;Azofra
Pension Belchite;8;3,5;;Logrono
Albergue Juvenil de Ocon;1;5;;Los Molinos de Ocon
Termaeuropa el Olivar;17;3;;Arnedillo
Hotel Julia;5;4;;Ribabellosa
Albergue Juvenil El Rasillo;1;4;;El Rasillo
Casa Ruiz Reyes;3;3,5;;Treviana
Paz y Vino en el camino;1;4;;Logrono
Hostal Restaurante la Terraza I y II;1;4;;Torrecilla en Cameros
Hostal Niza;6;3,5;;Logrono
Purpura Golf;3;3,5;;Sojuela
Hostal Los Majuelos;3;3,5;;Abalos
Habitaciones San Lazaro;1;4;;Najera
Albergue Juvenil Alfaro;1;4;;Alfaro
Hosteria Rural Rioja;1;4;;Castanares de Rioja
Albergue Juvenil Hospital San Jose;1;4;;San Roman de Cameros
Albergue Juvenil San Quirico;3;3,5;;Matute
Pensión Parque del Ebro;13;4,5;;Logrono
Casa Rural los Pinos;10;4,5;;El Rasillo de Cameros
Albergue de Logrono Privado;12;4;;Logrono
Casa Tahona;3;5;;Enciso
Casa Rural Los Mochuelos;14;4;;Santurde
Pensión La Plaza;3;5;;Azofra
Albergue Victoria;11;4;;Ciruena
Casa Rural Edulis;5;4,5;;Santurde
Hotel Rural EL Patio de la Morera;2;5;;El Rasillo de Cameros
Apartamentos La Aurora;3;5;;Logrono
Apartamentos El Olmo;2;5;;El Rasillo de Cameros
Casa Rural La Chota Marela;8;4;;Zorraquin
La Vida es Sueno Hostel;5;4,5;;Vadillos
Albergue Virgen de Guadalupe;15;3,5;;Ciruena
Hotel Montes Blancos;16;4;;Ezcaray
Casa Rural Isilune;9;4,5;;Quintanar de Rioja
Albergue Turístico La Iglesia;2;4,5;;Navarrete
Pensión Daniel;9;4;;Logrono
Albergue Nido de Cigüeña;9;3,5;;Najera
Apartamentos La Buhardilla;6;4,5;;Ezcaray
Casa Rural Torredano;2;4,5;;
Albergue El Cantaro Navarrete;11;4;;Navarrete
Casa Soleta Ezcaray;3;5;;Ezcaray
Casa de Montana;2;5;;Zorraquin
Casa Antonia;20;3,5;;Cuzcurrita de Rio Tiron
Casa Rural de Legarda;2;4,5;;Brinas
Casa Rural Acebal;11;3,5;;Santurde
El Rincon De Zaldierna;2;4,5;;Zaldierna
Casa Rural El Caracol;5;4;;Tricio
Lombera Apartamentos;1;1;;Arnedillo
Apartamento Berceo;0;;;Logrono
Pensión La Castellana;0;;;Logrono
Calle Del Laurel 24 - Gup Apartments;0;;;Logrono
La Posada del Arriero;0;;;Sorzano
Pension Como En Casa;0;;;Rincon de Soto
Pension Como En Casa;0;;;Rincon de Soto
Alfonso Pena;0;;;Santo Domingo de la Calzada
HC Alesanco;0;;;Alesanco
Apartamento Turísticos Entresillares;0;;;San Vicente de la Sonsierra
La Casona El Cuartelillo;0;;;Enciso
Casa Canchales;0;;;Nieva de Cameros
Riojania Heredad;0;;;Santa Eulalia Bajera
Casa Jacobea;0;;;Granon
Ermita Ntra. Sra. Carrasquedo;0;;;Granon
Apartamentos Turisticos De Clavijo;0;;;Clavijo
Hotel Larrain;0;;;Lanciego
Apartamentos Campo De Golf;0;;;Sojuela
Hostal Labranza;22;4,5;;Fuenmayor
Hostel Entresueños Logroño;93;4;;Logrono
Check In Rioja;35;4,5;;Logrono
Apartamentos Turisticos Sagasta;33;4,5;;Logrono
Hotel Rural Museo La Alpargata;184;3,5;;Cervera del Rio Alhama
Rio Zambullon Casa Rural;20;5;;Ezcaray
Albergue La Casa Del Peregrino angel;19;4,5;;Navarrete
Casa Somera;17;4,5;;Viniegra de Abajo
Valvanera Inn;33;4;;Anguiano
La Casa de Alberto;10;5;;Rivas de Tereso
Apartamentos Turísticos Taranco 5;10;5;;Haro
Balneario de Grávalos;151;3,5;;Gravalos
Casa Rural Badaran Di Vino;16;4,5;;Badaran
Hostal Gala;53;4;;Calahorra
Pension Teresa;10;5;;Calahorra
La Casa del Valle Encantado Casa Rural;12;5;;Poyales
Hostal Aragon;66;3,5;;Haro
Apartamentos Logrono;53;3,5;;Logrono
Hotel Pura Vida;7;5;;Valganon
Venta de Piqueras;11;4,5;;Lumbreras
Casa El Maguillo Jalon;4;5;;Jalon de Cameros
Albergue El Camino de las Estrellas;24;4;;Navarrete
Casa rural la baldufa;7;5;;Munilla
Casa Rural Canon de Rio Leza;9;4,5;;Trevijano
Apartamentos La Casona de Ezcaray;1;5;;Ezcaray
Hostal La Uva;7;4,5;;Cenicero
Albergue Carrasquedo;21;4;;Granon
Villa Liquidambar;4;4;;Torrecilla en Cameros
Casa Rural Peñalba;3;2,5;;Arnedillo
Casa Rural Ugarte;2;2,5;;Ojacastro
Albergue Puerta de Nájera;107;4;;Najera
Camping de Haro;175;4;;Haro
Hospederia Cisterciense;89;4;;Santo Domingo de la Calzada
El Molino de Cidacos;4;4,5;;Arnedillo
Apartamentos Turisticos Lladito;38;5;;Ezcaray
Solar de Febrer;115;4,5;;Tirgo
Casa Rural Entrebosques;27;5;;El Rasillo de Cameros
Hostal Penacardena;11;5;;Igea
El Botero;22;4;;Cuzcurrita de Rio Tiron
Casa de la Condesa;3;5;;El Redal
Pension San Lorenzo 2;5;5;;Najera
Casa Rural Cruz;38;5;;Cervera del Rio Alhama
La Casa Nueva;8;4,5;;Nieva de Cameros
Albergue Rural de Peregrinos San Saturnino;28;4;;Ventosa
La Casa Azul;22;4,5;;Alcanadre
Albergue de Peregrinos Cofradia del Santo;61;4;;Santo Domingo de la Calzada
Albergue El Peregrino Najerino;1;5;;Najera
Molino del Corregidor;18;5;;San Roman de Cameros
Apartamentos Rurales La Peinada;4;5;;Villarejo
Hotel HM Alfaro;95;3,5;;Alfaro
Casa Rural La ilera;23;5;;Casalarreina
Hotel Logroño;1;5;;Logrono
Casa Rural Zaldierna;27;4,5;;Ezcaray
Natural Stay Apartamentos PassivHaus;1;5;;Logrono
Hotel Rural Camero Viejo;36;4;;Laguna de Cameros
Casa Rural El Vallejo;30;4;;El Rasillo de Cameros
Apartamentos Turísticos Leiva -La Rioja;1;5;;
La Casa Del Reloj;2;5;;Enciso
Casa Rural Nestazar II;6;3,5;;Berceo
San Roque 18;9;2,5;;Santo Domingo de la Calzada
