Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking,Location
Dia España,0.0,0 opiniones,,,25.0,Alfaro
Pub Jazz Alfaro,0.0,0 opiniones,,,26.0,Alfaro
Treinta Y Ocho,0.0,0 opiniones,,,27.0,Alfaro
Mercadona,0.0,0 opiniones,,,28.0,Alfaro
Gasolinera Las Cigüeñas,0.0,0 opiniones,,,29.0,Alfaro
Bar Castillo,0.0,0 opiniones,,,30.0,Alfaro
Restaurante Coliceo 29,4.5,205,Restaurantes en Calahorra,€€ - €€€,1.0,Calahorra
Mercadal 21,4.0,522,"Mediterránea, Española",€€ - €€€,2.0,Calahorra
Casa Mateo,4.0,181,"Mediterránea, Española",€€ - €€€,3.0,Calahorra
La Montanera,4.5,61,"Mediterránea, Española",€,4.0,Calahorra
Restaurante El Albergue,4.0,107,"Bares y pubs, Mediterránea",€€ - €€€,5.0,Calahorra
Chef Nino,4.5,151,"Mediterránea, Española",€€ - €€€,6.0,Calahorra
Asador Época,4.0,124,"Mediterránea, Española",€€ - €€€,7.0,Calahorra
Brasería La Damajuana,4.0,36,"Restaurante de carne, Española",€€€€,8.0,Calahorra
Restaurante El Silo,4.0,36,"Restaurante de carne, Europea",€,9.0,Calahorra
Restaurante Parador de Calahorra,3.5,138,"Mediterránea, Española",€€ - €€€,10.0,Calahorra
Gastrobar CAPI,4.0,101,"Española, Saludable",€€ - €€€,11.0,Calahorra
Pintxos Bohemia,4.5,65,"Mediterránea, Española",€,12.0,Calahorra
Sabor.es,4.5,51,"Bares y pubs, Bar",€,13.0,Calahorra
Hostal Gala - Café Restaurante,3.5,32,"Bar, Mediterránea",€€ - €€€,14.0,Calahorra
El Rincón Andaluz,4.0,37,"Mediterránea, Española",€€ - €€€,15.0,Calahorra
Restaurante Chino Hong Kong,4.0,13,"Marisco, Mediterránea",€€ - €€€,16.0,Calahorra
"Act Hostelería La Comedia, S.l.",4.0,53,"China, Asiática",€€ - €€€,17.0,Calahorra
Restaurante Bar La Viña,4.5,7,"Mediterránea, Española",€€ - €€€,18.0,Calahorra
La Vuelta,4.0,13,Española,€,19.0,Calahorra
Bar la Bodega,4.5,7,"Restaurante de carne, Mediterránea",€€ - €€€,20.0,Calahorra
Como en Casa donde la Tomasa,3.0,36,Marisco,€€ - €€€,21.0,Calahorra
Finca Tio Simón,4.5,8,,€,22.0,Calahorra
Cafe Central,3.5,25,Española,€€ - €€€,23.0,Calahorra
LA MAFIA SE SIENTA A LA MESA,3.5,65,"Italiana, Pizza",€€ - €€€,24.0,Calahorra
Restaural,5.0,2,"Mediterránea, Española",€€ - €€€,25.0,Calahorra
Cafetería El Tostadero,4.5,8,,,26.0,Calahorra
Bar Cafetín,4.0,4,Café,,27.0,Calahorra
Bar Las Vegas,4.0,13,Española,,28.0,Calahorra
Montserrat 2.0,3.5,19,"Bares y pubs, Comida rápida",,29.0,Calahorra
Café Rioja,3.5,22,"Bar, Española",,30.0,Calahorra
La Vieja Bodega,4.5,1137,Restaurantes en Briones,€€€€,,Briones
Asador Los Nietos,4.5,434,"Restaurante de carne, Mediterránea",€€ - €€€,1.0,Briones
Los 4 Arcos,4.5,412,"Restaurante de carne, Mediterránea",€€ - €€€,2.0,Briones
Allegar,5.0,35,"Restaurante de carne, Mediterránea",€€€€,3.0,Briones
Restaurante Vivanco,4.0,179,"Mediterránea, Española",€€ - €€€,4.0,Briones
Los Calaos,3.5,200,"Europea, Española",€€ - €€€,5.0,Briones
Asador La Estación,4.0,15,Española,€,6.0,Briones
Restaurante Briones,3.0,46,"Restaurante de carne, Española",€,7.0,Briones
Tapas Bar Alto Ebro,4.0,7,"Mediterránea, Española",,8.0,Briones
Bar La Canoa,4.0,1,Bares para comer,,9.0,Briones
Bar Jubilado,4.0,1,,,10.0,Briones
Abadia,3.0,8,"Mediterránea, Española",,11.0,Briones
Calado Santa María Briones,0.0,0 opiniones,,,12.0,Briones
Date Un Capricho En Briones,0.0,0 opiniones,"Mediterránea, Comedor",,13.0,Briones
La Vieja Bodega,4.5,1137,Restaurantes en Briones,€€€€,,Briones
Asador Los Nietos,4.5,434,"Restaurante de carne, Mediterránea",€€ - €€€,1.0,Briones
Los 4 Arcos,4.5,412,"Restaurante de carne, Mediterránea",€€ - €€€,2.0,Briones
Allegar,5.0,35,"Restaurante de carne, Mediterránea",€€€€,3.0,Briones
Restaurante Vivanco,4.0,179,"Mediterránea, Española",€€ - €€€,4.0,Briones
Los Calaos,3.5,200,"Europea, Española",€€ - €€€,5.0,Briones
Asador La Estación,4.0,15,Española,€,6.0,Briones
Restaurante Briones,3.0,46,"Restaurante de carne, Española",€,7.0,Briones
Tapas Bar Alto Ebro,4.0,7,"Mediterránea, Española",,8.0,Briones
Bar La Canoa,4.0,1,Bares para comer,,9.0,Briones
Bar Jubilado,4.0,1,,,10.0,Briones
Abadia,3.0,8,"Mediterránea, Española",,11.0,Briones
Calado Santa María Briones,0.0,0 opiniones,,,12.0,Briones
Date Un Capricho En Briones,0.0,0 opiniones,"Mediterránea, Comedor",,13.0,Briones
Asador El Buen Yantar,4.0,547,Restaurantes en Nájera,€,1.0,Nájera
Restaurante Olimpo,4.5,151,"Mediterránea, Europea",€€ - €€€,2.0,Nájera
Restaurante El Trinquete,4.0,129,"Mediterránea, Española",€€ - €€€,3.0,Nájera
La Mercería,4.0,233,"Mediterránea, Española",€€ - €€€,4.0,Nájera
Royalty,4.0,56,"Mediterránea, Española",€€ - €€€,5.0,Nájera
Cafe Pepe,5.0,9,"Mediterránea, Española",€€ - €€€,6.0,Nájera
Bodegón La Judería,3.5,32,"Café, Comida rápida",€€ - €€€,7.0,Nájera
los Parrales,3.5,163,"Café, Mediterránea",€€ - €€€,8.0,Nájera
Las Ocas,3.5,37,"Bares y pubs, Mediterránea",€,9.0,Nájera
Cafeteria Boffi,4.5,9,"Bar, Mediterránea",€€ - €€€,10.0,Nájera
Las Brujas,3.5,10,"Mediterránea, Española",€€ - €€€,11.0,Nájera
Restaurante Cuna de Reyes,4.0,13,"Mediterránea, Española",€€ - €€€,12.0,Nájera
Mesón Jamonero,4.0,2,,€€ - €€€,13.0,Nájera
Bar Naxara,3.5,51,"Mediterránea, Española",€,14.0,Nájera
Restaurante El Rey,3.5,16,Española,€,15.0,Nájera
Cerveceria Kien,3.5,48,,€€ - €€€,16.0,Nájera
La Pasarela,3.0,52,"Café, Española",,17.0,Nájera
Paseo 13,3.0,14,"Mediterránea, Española",,18.0,Nájera
Panos,5.0,1,"Bares y pubs, Bar",,19.0,Nájera
Restaurante Doti,3.5,2,"Italiana, Americana",,20.0,Nájera
Bar Franco 2,0.0,0 opiniones,Española,,21.0,Nájera
Kingdom Bar,0.0,0 opiniones,"Bar, Pub",,22.0,Nájera
Pasteleria Gloria,0.0,0 opiniones,,,23.0,Nájera
Bar Pandora,0.0,0 opiniones,Española,,24.0,Nájera
Copaboca Nájera,0.0,0 opiniones,,,25.0,Nájera
Mao Mao Nájera,0.0,0 opiniones,Vinoteca,,26.0,Nájera
Riojawine.shop,0.0,0 opiniones,,,27.0,Nájera
Disco 3,0.0,0 opiniones,,,28.0,Nájera
Bar Virginia,0.0,0 opiniones,,,29.0,Nájera
Bar El Coquis,0.0,0 opiniones,,,30.0,Nájera
Asador El Buen Yantar,4.0,547,Restaurantes en Nájera,€,1.0,Nájera
Restaurante Olimpo,4.5,151,"Mediterránea, Europea",€€ - €€€,2.0,Nájera
Restaurante El Trinquete,4.0,129,"Mediterránea, Española",€€ - €€€,3.0,Nájera
La Mercería,4.0,233,"Mediterránea, Española",€€ - €€€,4.0,Nájera
Royalty,4.0,56,"Mediterránea, Española",€€ - €€€,5.0,Nájera
Cafe Pepe,5.0,9,"Mediterránea, Española",€€ - €€€,6.0,Nájera
Bodegón La Judería,3.5,32,"Café, Comida rápida",€€ - €€€,7.0,Nájera
los Parrales,3.5,163,"Café, Mediterránea",€€ - €€€,8.0,Nájera
Las Ocas,3.5,37,"Bares y pubs, Mediterránea",€,9.0,Nájera
Cafeteria Boffi,4.5,9,"Bar, Mediterránea",€€ - €€€,10.0,Nájera
Las Brujas,3.5,10,"Mediterránea, Española",€€ - €€€,11.0,Nájera
Restaurante Cuna de Reyes,4.0,13,"Mediterránea, Española",€€ - €€€,12.0,Nájera
Mesón Jamonero,4.0,2,,€€ - €€€,13.0,Nájera
Bar Naxara,3.5,51,"Mediterránea, Española",€,14.0,Nájera
Restaurante El Rey,3.5,16,Española,€,15.0,Nájera
Cerveceria Kien,3.5,48,,€€ - €€€,16.0,Nájera
La Pasarela,3.0,52,"Café, Española",,17.0,Nájera
Paseo 13,3.0,14,"Mediterránea, Española",,18.0,Nájera
Panos,5.0,1,"Bares y pubs, Bar",,19.0,Nájera
Restaurante Doti,3.5,2,"Italiana, Americana",,20.0,Nájera
Bar Franco 2,0.0,0 opiniones,Española,,21.0,Nájera
Kingdom Bar,0.0,0 opiniones,"Bar, Pub",,22.0,Nájera
Pasteleria Gloria,0.0,0 opiniones,,,23.0,Nájera
Bar Pandora,0.0,0 opiniones,Española,,24.0,Nájera
Copaboca Nájera,0.0,0 opiniones,,,25.0,Nájera
Mao Mao Nájera,0.0,0 opiniones,Vinoteca,,26.0,Nájera
Riojawine.shop,0.0,0 opiniones,,,27.0,Nájera
Disco 3,0.0,0 opiniones,,,28.0,Nájera
Bar Virginia,0.0,0 opiniones,,,29.0,Nájera
Bar El Coquis,0.0,0 opiniones,,,30.0,Nájera
Restaurante El Molino,4.5,27,Restaurantes en San Millán de la Cogolla,€€ - €€€,1.0,San Millán
In Vino Veritas- Hostería,4.0,122,Mediterránea,€€ - €€€,2.0,San Millán
Asador San Millan,3.5,11,Española,€,3.0,San Millán
Meson Las Glosas,3.0,139,Española,€€ - €€€,4.0,San Millán
Restaurante El Molino,4.5,27,Restaurantes en San Millán de la Cogolla,€€ - €€€,1.0,San Millán
In Vino Veritas- Hostería,4.0,122,Mediterránea,€€ - €€€,2.0,San Millán
Asador San Millan,3.5,11,Española,€,3.0,San Millán
Meson Las Glosas,3.0,139,Española,€€ - €€€,4.0,San Millán
La Vieja Bodega,4.5,1137,Restaurantes en Santo Domingo de la Calzada,€€€€,,Santo Domingo
Restaurante Los Caballeros,4.5,740,"Restaurante de carne, Mediterránea",€€ - €€€,1.0,Santo Domingo
Hidalgo,4.0,470,"Mediterránea, Europea",€,2.0,Santo Domingo
Restaurante Casa Amparo,4.0,284,"Española, Saludable",€,3.0,Santo Domingo
La Cancela,4.0,365,"Restaurante de carne, Mediterránea",€€ - €€€,4.0,Santo Domingo
El Sarmiento Azul Mediterráneo,4.5,52,"Mediterránea, Española",€€ - €€€,5.0,Santo Domingo
Restaurante Parador de Santo Domingo de la Calzada,4.0,254,"Restaurante de carne, Mediterránea",€€ - €€€,6.0,Santo Domingo
La Strada,4.5,418,"Española, Saludable",€€ - €€€,7.0,Santo Domingo
Brasería Gran Ferretería,3.5,238,"Italiana, Pizza",€€ - €€€,8.0,Santo Domingo
Restaurante Cafetería Arcaya,4.0,136,"Restaurante de carne, Española",€,9.0,Santo Domingo
Restaurante Bar Piedra,4.0,230,"Restaurante de carne, Mediterránea",€€ - €€€,10.0,Santo Domingo
Nk Gipuzkoa,4.5,10,"Mediterránea, Española",€€ - €€€,11.0,Santo Domingo
Cervecería Capota,3.5,203,"Mediterránea, Española",€,12.0,Santo Domingo
Bar Echegoyen,4.0,14,,€,13.0,Santo Domingo
La Gallina que canto,3.5,201,"Bar, Mediterránea",€,14.0,Santo Domingo
Bar-Restaurante El Marquesito,3.5,115,"Bar, Café",€€ - €€€,15.0,Santo Domingo
CAFE MIGUEL,3.5,38,,€,16.0,Santo Domingo
Tertulia,4.0,30,"Mediterránea, Europea",€€ - €€€,17.0,Santo Domingo
Bar La Calzada,3.5,3,"Mediterránea, Española",€,18.0,Santo Domingo
Genesis,4.0,20,"Bar, Comida rápida",€,19.0,Santo Domingo
Cervecería Titanic,3.0,102,Bar,€€ - €€€,20.0,Santo Domingo
Cafeteria Eibarresa,3.5,15,Española,€€ - €€€,21.0,Santo Domingo
Tu y Yo,3.5,43,Española,,22.0,Santo Domingo
Bar La Catedral,4.0,1,Española,,23.0,Santo Domingo
Bar La Rueda,3.5,12,Española,,24.0,Santo Domingo
Café la Torre,4.0,2,,,25.0,Santo Domingo
Bar Dados,2.5,23,"Bares y pubs, Mediterránea",,26.0,Santo Domingo
Cafeteria Espolon,2.0,46,,,27.0,Santo Domingo
Gambrinus,3.0,49,Española,,28.0,Santo Domingo
Pasteleria Isasi,1.0,1,,,29.0,Santo Domingo
Café Bar Carmen,0.0,0 opiniones,Española,,30.0,Santo Domingo
Restaurante Casa Masip,4.0,804,Restaurantes en Ezcaray,€€ - €€€,1.0,Ezcaray
Restaurante Asador La Antigua Ferreria,4.5,226,"Mediterránea, Española",€€ - €€€,2.0,Ezcaray
Echaurren Tradición,4.0,953,"Restaurante de carne, Española",€€€€,3.0,Ezcaray
Restaurante el Rincon del Vino de Ezcaray,4.0,370,"Mediterránea, Europea",€€ - €€€,4.0,Ezcaray
Restaurante El Portal del Echaurren,4.5,481,"Restaurante de carne, Mediterránea",€€€€,5.0,Ezcaray
EL CUARTITO de Echaurren,4.0,228,"Europea, Española",€€ - €€€,6.0,Ezcaray
Bar Roypa,4.0,221,"Mediterránea, Europea",€,7.0,Ezcaray
Bar Restaurante Lladito,4.0,117,"Bar, Mediterránea",€€ - €€€,8.0,Ezcaray
La Estacion,3.5,123,Española,€€ - €€€,9.0,Ezcaray
Restaurante Cerveceria El Refugio,3.5,88,Española,€€ - €€€,10.0,Ezcaray
Pizzeria Fuoli,4.0,43,Española,€,11.0,Ezcaray
Bar Satorre,4.5,15,"Italiana, Pizza",€€ - €€€,12.0,Ezcaray
Jamon Jamon,4.0,43,"Mediterránea, Española",€€ - €€€,13.0,Ezcaray
Restaurante Usaya,4.0,14,Española,€€ - €€€,14.0,Ezcaray
E-Tapas Gastrobar,4.0,35,Española,€€ - €€€,15.0,Ezcaray
Cervecería Deyan,3.5,37,Española,€,16.0,Ezcaray
Asador Usaya,4.0,13,"Bar, Pizza",€€ - €€€,17.0,Ezcaray
Restaurante El Meson,2.5,285,Española,€,18.0,Ezcaray
Iguareña,3.0,14,,€,19.0,Ezcaray
Meson Allende,3.0,26,Española,€,20.0,Ezcaray
Bar Lorca,4.0,8,Española,,21.0,Ezcaray
Bar La Taberna,4.5,2,,,22.0,Ezcaray
Bar Novelty,2.5,58,Española,,23.0,Ezcaray
restaurante Cines Allende,3.0,9,Española,,24.0,Ezcaray
El Mesón,0.0,0 opiniones,,,25.0,Ezcaray
Bar Ubaga Ezcaray,0.0,0 opiniones,"Bares y pubs, Española",,26.0,Ezcaray
Cafetería Saúco,0.0,0 opiniones,,,27.0,Ezcaray
Café Central Ezcaray,0.0,0 opiniones,Bares para comer,,28.0,Ezcaray
Pub Rym,0.0,0 opiniones,"Café, Española",,29.0,Ezcaray
Troika,0.0,0 opiniones,,,30.0,Ezcaray
Restaurante El Jarrero,4.5,674,"Restaurante de carne, Mediterránea",€€ - €€€,1.0,Haro
Restaurante Alboroque,5.0,130,"Mediterránea, Europea",€€ - €€€,2.0,Haro
Restaurante Terete,4.0,1386,"Mediterránea, Europea",€€ - €€€,3.0,Haro
Restaurante Los Berones,4.5,149,"Restaurante de carne, Mediterránea",€,4.0,Haro
El Rincon Del Noble,4.5,402,"Europea, Española",€€ - €€€,5.0,Haro
Nublo Restaurant,4.5,124,"Mediterránea, Europea",€€€€,6.0,Haro
Beethoven,4.0,940,"Mediterránea, Española",€€ - €€€,7.0,Haro
Arrope,4.0,487,"Mediterránea, Europea",€€ - €€€,8.0,Haro
El Claustro de los Agustinos,4.0,156,"Mediterránea, Europea",€€ - €€€,9.0,Haro
Los Caños Restaurante,4.0,35,"Mediterránea, Europea",€€ - €€€,10.0,Haro
El Remolino,4.0,56,Española,€,11.0,Haro
Restaurante Gastrobar Sabai,4.5,17,Española,€€€€,12.0,Haro
Asador Beethoven,4.0,141,"Española, Asiática",€€ - €€€,13.0,Haro
Rinconcito de Cai,4.5,50,"Restaurante de carne, Española",€,14.0,Haro
Bar La Esquina,4.0,177,"Española, Pub",€,15.0,Haro
Bar Benigno,4.0,109,Española,€,16.0,Haro
Bar Restaurante Vega,3.5,186,"Bares y pubs, Bar",€€ - €€€,17.0,Haro
Cafetería Nido,5.0,19,"Mediterránea, Europea",€,18.0,Haro
El Antojo Del Gallo,4.0,69,"Bar, Café",€,19.0,Haro
Popy's,3.5,93,"Mediterránea, Española",€€ - €€€,20.0,Haro
Restaurante Las Cigüenas,3.5,94,"Pizza, Mediterránea",€€ - €€€,21.0,Haro
Siglo de Oro,4.5,44,Española,€€ - €€€,22.0,Haro
Cafe El Sol,3.5,67,"China, Asiática",€€ - €€€,23.0,Haro
Taberna Urdai,4.0,23,"Bar, Café",€€ - €€€,24.0,Haro
Bar la Pista 2.0,4.5,11,Española,€€ - €€€,25.0,Haro
Chamonix,3.0,347,"Pub, Bar",€,26.0,Haro
Asador Cervecería Tirondoa -,3.0,75,,€€ - €€€,27.0,Haro
Bar Obarenes,3.0,126,"Bar, Española",€,28.0,Haro
Restaurante Risqueno,3.0,70,"Mediterránea, Española",€€ - €€€,29.0,Haro
El Huerto,4.0,6,"Bar, Española",,30.0,Haro
La Vieja Bodega,4.5,1137,Restaurantes en Haro,€€€€,,Haro
Bar Talia,4.0,11,"Restaurante de carne, Mediterránea",€,31.0,Haro
Asador Tinto,3.0,96,Española,€€ - €€€,32.0,Haro
Harmony,4.5,7,"Restaurante de carne, Barbacoa",€€ - €€€,33.0,Haro
Café Suizo,2.0,58,"Bar, Española",€,34.0,Haro
Bar Entre Copas,4.0,16,,€€ - €€€,35.0,Haro
Café-Bar El Cedro,4.5,9,Café,€,36.0,Haro
Kaya,3.5,65,"Bar, Pub",,37.0,Haro
Bar Bremen,4.0,8,,,38.0,Haro
El Pasadizo,3.0,58,"Café, Española",,39.0,Haro
Gastrokebab El Sultan,5.0,1,,,40.0,Haro
Bar-Café El Arranque,4.5,3,"Bar, Española",,41.0,Haro
The Folk Tavern,3.5,3,"Latina, Comida rápida",,42.0,Haro
Bar Talía Haro,3.0,2,Española,,43.0,Haro
La Geria,1.0,1,"Comida rápida, Bares para comer",,44.0,Haro
Cafe Epoca,2.0,13,,,45.0,Haro
Bar Talia Haro,1.0,1,"Bar, Pub",,46.0,Haro
Tempranillo Y Maguey (t&m),0.0,0 opiniones,,,47.0,Haro
Asador Doña Petra,0.0,0 opiniones,"Bares y pubs, Latina",,48.0,Haro
Cerveceria Chamonix,0.0,0 opiniones,,,49.0,Haro
Jamonero - Madrid Tapas,0.0,0 opiniones,"Latina, Comida rápida",,50.0,Haro
Estambul Kebabharo,0.0,0 opiniones,,,51.0,Haro
Kebab Plaza,0.0,0 opiniones,"Bar, Café",,52.0,Haro
Cafe Bar Scooby,0.0,0 opiniones,,,53.0,Haro
Teorema Pub,0.0,0 opiniones,"Bares y pubs, Española",,54.0,Haro
Cafeteria Bilibio,0.0,0 opiniones,,,55.0,Haro
Pan La Minerva,0.0,0 opiniones,,,56.0,Haro
Bar Pirolo,0.0,0 opiniones,"Española, Asador",,57.0,Haro
Bar/discoteca Lio,0.0,0 opiniones,,,58.0,Haro
Cafe Liceo,0.0,0 opiniones,Española,,59.0,Haro
Café Terraza Kiosco,0.0,0 opiniones,,,60.0,Haro
Da Marcos,4.5,268,"Mediterránea, Española",€€ - €€€,31.0,Logroño
El Comienzo Restaurante,4.5,94,"Italiana, Mediterránea",€€ - €€€,32.0,Logroño
Bokoto Logroño,4.5,58,"Mediterránea, Europea",€€€€,33.0,Logroño
Sibuya Urban Sushi Bar Logroño,4.5,463,"Japonesa, Sushi",€€ - €€€,34.0,Logroño
Perretxico Logroño,4.0,91,"Japonesa, Sushi",€€ - €€€,35.0,Logroño
Restaurante Tahiti,4.5,307,"Mediterránea, Europea",€€ - €€€,36.0,Logroño
Emociones en Boca,4.5,344,"Europea, Española",€€ - €€€,37.0,Logroño
La Quisquillosa,4.5,409,"Mediterránea, Europea",€€ - €€€,38.0,Logroño
la galeria,4.5,265,"Restaurante de carne, Mediterránea",€€€€,39.0,Logroño
Restaurante Karachi,5.0,63,"Mediterránea, Europea",€€ - €€€,40.0,Logroño
Pasion Por Ti,4.5,1683,"Saludable, De Oriente Medio",€€ - €€€,41.0,Logroño
Pan y vino,4.0,172,"Mediterránea, Europea",€€ - €€€,42.0,Logroño
Meson Antonio,4.0,69,"Restaurante de carne, Mediterránea",€,43.0,Logroño
La Taberna de Baco,4.5,248,Española,€€ - €€€,44.0,Logroño
Letras de Laurel,4.5,863,"Bar, Mediterránea",€€ - €€€,45.0,Logroño
Aitor Esnal Restaurante,4.5,78,"Mediterránea, Europea",€€€€,46.0,Logroño
El Patio De Marce,5.0,12,"Internacional, Europea",€€€€,47.0,Logroño
La Pizza Boluda,4.5,47,"Latina, Comida rápida",€,48.0,Logroño
Restaurante Delicatto,4.5,120,"Italiana, Pizza",€€€€,49.0,Logroño
Carbonera Taberna,4.0,75,"Mediterránea, Española",€€ - €€€,50.0,Logroño
La Despensa Del Marques,4.5,289,"Mediterránea, Española",€€ - €€€,51.0,Logroño
Moderna Tradición,4.5,284,"Marisco, Mediterránea",€€ - €€€,52.0,Logroño
Ebisu Tradicional Bar-Restaurante,4.0,79,"Mediterránea, Europea",€,53.0,Logroño
Aromas Y Semillas,4.0,93,"Mediterránea, Española",€,54.0,Logroño
En las Nubes Restobar,3.5,166,"Café, Española",€€ - €€€,55.0,Logroño
Cafeteria-Restaurante Claret,5.0,75,"Americana, Alemana",€,56.0,Logroño
Bistro Mr Griego,4.0,19,"Bar, Mediterránea",€€ - €€€,57.0,Logroño
Restaurante La Chula,4.0,362,"Mediterránea, Europea",€€ - €€€,58.0,Logroño
Cristal Cafeteria Restaurante,4.5,52,"Mediterránea, Europea",€€ - €€€,59.0,Logroño
Miyako,4.0,95,Española,€€ - €€€,60.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Tolmay,3.5,84,"Mediterránea, Española",€€ - €€€,151.0,Logroño
La Rosaleda 1946,3.5,26,"Mediterránea, Española",€€ - €€€,152.0,Logroño
A Tu Gusto Logrono,4.0,105,"Mediterránea, Europea",€€ - €€€,153.0,Logroño
Ribera,4.5,103,"Bares y pubs, Bar",€€ - €€€,154.0,Logroño
Asador El Muro,3.5,177,"Bar, Española",€€ - €€€,155.0,Logroño
Canela,3.5,63,"Restaurante de carne, Mediterránea",€€ - €€€,156.0,Logroño
Bar Sebas,4.0,165,"Mediterránea, Española",€,157.0,Logroño
La Bodeguilla Gutierrez,4.0,14,Española,€,158.0,Logroño
Bococa,3.5,199,"Bar, Española",€€ - €€€,159.0,Logroño
Meson Restaurante El Charro,3.5,16,"Americana, Bar",€,160.0,Logroño
La Casita Mesón-Bar,4.0,81,"Restaurante de carne, Española",€€ - €€€,161.0,Logroño
Trattoria Pizza Pasta E Basta S.coop.,3.5,121,"Bar, Mediterránea",€€ - €€€,162.0,Logroño
Juanlobo,3.5,82,"Italiana, Mediterránea",€€ - €€€,163.0,Logroño
Restaurante Malvasía,4.0,21,"Bar, Mediterránea",€€ - €€€,164.0,Logroño
Barriobar,4.5,25,"Mediterránea, Española",€,165.0,Logroño
Timber Café,4.0,9,Española,€€€€,166.0,Logroño
La Pepita Burger Bar - Logroño,3.5,88,"Bares y pubs, Bar",€€ - €€€,167.0,Logroño
Mesón Jabugo San Agustín,4.0,43,Americana,€€ - €€€,168.0,Logroño
Cafe Cervantes,4.5,33,"Bares y pubs, Mediterránea",€,169.0,Logroño
Berty´s Burger Logroño,4.5,15,"Bar, Café",€€ - €€€,170.0,Logroño
Restaurante Tívoli,3.5,96,"Mediterránea, Española",€€ - €€€,171.0,Logroño
Tal Cual,3.0,82,"Mediterránea, Española",€,172.0,Logroño
Bad Food Bar,4.5,108,Americana,€,173.0,Logroño
Sport Tavern,3.5,45,"Comida rápida, Española",€€ - €€€,174.0,Logroño
Restaurante Casa Victor,3.0,72,"Bar, Café",€,175.0,Logroño
Divina Croqueta,4.5,27,"Bares y pubs, Española",€,176.0,Logroño
Tenessis,4.5,41,"Mediterránea, Española",€,177.0,Logroño
La Cantina,4.5,14,Española,€€ - €€€,178.0,Logroño
Restaurante Japones Yoshi,4.0,22,"Japonesa, Sushi",€€ - €€€,179.0,Logroño
Vinissimo,4.5,57,"Española, Vinoteca",,180.0,Logroño
La Tavina,4.0,665,Restaurantes en Logroño,€€ - €€€,,Logroño
Restaurante Sojuela,4.0,23,"Mediterránea, Española",€€ - €€€,181.0,Logroño
El canalla,4.0,127,"Mediterránea, Española",€€ - €€€,182.0,Logroño
Don Sancho,4.5,6,"Bares y pubs, Bar",€€ - €€€,183.0,Logroño
El Palio,4.0,5,,€€ - €€€,184.0,Logroño
Restaurante/Cafeteria Sol Nordico,4.0,5,Española,€€ - €€€,185.0,Logroño
Atiborre,3.5,15,,€€ - €€€,186.0,Logroño
MaryViña,4.0,16,"China, Japonesa",€,187.0,Logroño
Cerveceria Marisqueria Alina's,3.5,29,"Internacional, Mediterránea",€€ - €€€,188.0,Logroño
Bar Páganos,4.0,157,"Mediterránea, Española",€€ - €€€,189.0,Logroño
